Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Nilokheri (SC),19,BHAGWAN DASS KABIR PANTHI,Bharatiya Janata Party,MAMU RAM,Indian National Lok Dal,34410,Result Declared,Haryana,S07
Nuh,79,ZAKIR HUSSAIN,Indian National Lok Dal,AFTAB AHMED,Indian National Congress,32796,Result Declared,Haryana,S07
Palwal,84,KARAN SINGH DALAL,Indian National Congress,DEEPAK MANGLA,Bharatiya Janata Party,5642,Result Declared,Haryana,S07
Panchkula,2,GIAN CHAND GUPTA,Bharatiya Janata Party,KUL BHUSHAN GOYAL,Indian National Lok Dal,44602,Result Declared,Haryana,S07
Panipat City,25,ROHITA REWRI,Bharatiya Janata Party,VIRENDER KUMAR SHAH,Indian National Congress,53721,Result Declared,Haryana,S07
Panipat Rural,24,MAHIPAL DHANDA,Bharatiya Janata Party,DHARA SINGH RAWAL,Independent,36132,Result Declared,Haryana,S07
Pataudi (SC),75,BIMLA CHAUDHARY,Bharatiya Janata Party,GANGA RAM,Indian National Lok Dal,38963,Result Declared,Haryana,S07
Pehowa,14,JASWINDER SINGH SANDHU,Indian National Lok Dal,JAI BHAGWAN SHARMA ( D.D.),Bharatiya Janata Party,9347,Result Declared,Haryana,S07
Prithla,85,TEK CHAND SHARMA,Bahujan Samaj Party,NAYAN PAL RAWAT,Bharatiya Janata Party,1179,Result Declared,Haryana,S07
Punahana,81,RAHISH KHAN,Independent,MOHAMMED ILYAS,Indian National Lok Dal,3141,Result Declared,Haryana,S07
Pundri,18,DINESH KAUSHIK,Independent,RANDHIR SINGH GOLLEN,Bharatiya Janata Party,4832,Result Declared,Haryana,S07
Radaur,10,SHYAM SINGH,Bharatiya Janata Party,RAJ KUMAR BUBKA,Indian National Lok Dal,38707,Result Declared,Haryana,S07
Rai,29,JAI TIRATH,Indian National Congress,INDERJEET,Indian National Lok Dal,3,Result Declared,Haryana,S07
Rania,44,RAM CHAND KAMBOJ,Indian National Lok Dal,GOBIND KANDA,Haryana Lokhit Party,4315,Result Declared,Haryana,S07
Ratia (SC),41,PROF. RAVINDER BALIALA,Indian National Lok Dal,SUNITA DUGGAL,Bharatiya Janata Party,453,Result Declared,Haryana,S07
Rewari,74,RANDHIR SINGH KAPRIWAS,Bharatiya Janata Party,SATISH YADAV,Indian National Lok Dal,45466,Result Declared,Haryana,S07
Rohtak,62,MANISH KUMAR GROVER,Bharatiya Janata Party,BHARAT BHUSHAN BATRA,Indian National Congress,11132,Result Declared,Haryana,S07
Sadhaura (SC),7,BALWANT SINGH,Bharatiya Janata Party,PINKI CHHAPPER,Indian National Lok Dal,14146,Result Declared,Haryana,S07
Safidon,35,JASBIR DESWAL,Independent,DR.VANDANA SHARMA,Bharatiya Janata Party,1422,Result Declared,Haryana,S07
Samalkha,27,RAVINDER MACHHROULI,Independent,DHARM SINGH CHHOKER,Indian National Congress,20373,Result Declared,Haryana,S07
Shahbad (SC),12,KRISHAN KUMAR,Bharatiya Janata Party,RAM KARAN,Indian National Lok Dal,562,Result Declared,Haryana,S07
Sirsa,45,MAKHAN LAL SINGLA,Indian National Lok Dal,GOPAL KANDA,Haryana Lokhit Party,2938,Result Declared,Haryana,S07
Sohna,78,TEJPAL TAWAR,Bharatiya Janata Party,KISHORE YADAV,Indian National Lok Dal,24547,Result Declared,Haryana,S07
Sonipat,31,KAVITA JAIN,Bharatiya Janata Party,DEV RAJ DIWAN,Indian National Congress,25810,Result Declared,Haryana,S07
Thanesar,13,SUBHASH SUDHA,Bharatiya Janata Party,ASHOK KUMAR ARORA,Indian National Lok Dal,25638,Result Declared,Haryana,S07
Tigaon,90,LALIT NAGAR,Indian National Congress,RAJESH NAGAR,Bharatiya Janata Party,2938,Result Declared,Haryana,S07
Tohana,39,SUBHASH BARALA,Bharatiya Janata Party,NISHAN SINGH,Indian National Lok Dal,6906,Result Declared,Haryana,S07
Tosham,58,KIRAN CHOUDHRY,Indian National Congress,KAMLA RANI,Indian National Lok Dal,19741,Result Declared,Haryana,S07
Uchana kalan,37,PREM LATA,Bharatiya Janata Party,DUSHYANT CHAUTALA,Indian National Lok Dal,7480,Result Declared,Haryana,S07
Uklana (SC),48,ANOOP DHANAK,Indian National Lok Dal,SEEMA GAIBIPUR,Bharatiya Janata Party,17927,Result Declared,Haryana,S07
Yamunanagar,9,GHANSHYAM DASS,Bharatiya Janata Party,DILBAGH SINGH,Indian National Lok Dal,28245,Result Declared,Haryana,S07
Achalpur,42,BACCHU ALIAS OMPRAKASH BABARAO KADU,Independent,ASHOK SHRIDHARPANT BANSOD,Bharatiya Janata Party,10170,Result Declared,Maharashtra,S13
Aheri,69,AMBRISHRAO RAJE SATYAVANRAO ATRAM,Bharatiya Janata Party,ATRAM DHARMARAOBABA,Nationalist Congress Party,19858,Result Declared,Maharashtra,S13
Ahmadpur,236,JADHAV PATIL VINAYAKRAO KISHANRAO,Independent,BABASAHEB MOHANRAO PATIL,Nationalist Congress Party,4006,Result Declared,Maharashtra,S13
Ahmednagar City,225,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress Party,ANILBHAYYA  RAMKISAN RATHOD,Shivsena,3317,Result Declared,Maharashtra,S13
Airoli,150,SANDEEP GANESH NAIK,Nationalist Congress Party,CHOUGULE VIJAY LAXMAN,Shivsena,8725,Result Declared,Maharashtra,S13
Akkalkot,250,SIDDHARAM  SATLINGAPPA MHETRE,Indian National Congress,PATIL SIDRAMAPPA MALAKAPPA,Bharatiya Janata Party,17644,Result Declared,Maharashtra,S13
Akkalkuwa,1,PADAVI ADV. K.C.,Indian National Congress,PARADAKE VIJAYSING RUPSING,Nationalist Congress Party,15775,Result Declared,Maharashtra,S13
Akola East,31,SAVARKAR RANDHIR PRALHADRAO,Bharatiya Janata Party,BHADE HARIDAS PANDHARI,Bharipa Bahujan Mahasangh,2440,Result Declared,Maharashtra,S13
Akola West,30,GOVARDHAN MANGILAL SHARMA,Bharatiya Janata Party,DESHMUKH VIJAY PUNDLIKRAO,Nationalist Congress Party,39953,Result Declared,Maharashtra,S13
Akole,216,PICHAD VAIBHAV MADHUKAR,Nationalist Congress Party,TALPADE MADHUKAR SHANKAR,Shivsena,20062,Result Declared,Maharashtra,S13
Akot,28,BHARSAKLE PRAKASH GUNVANTRAO,Bharatiya Janata Party,GANGANE MAHESH SUDHAKARRAO,Indian National Congress,31411,Result Declared,Maharashtra,S13
Alibag,192,SUBHASH ALIAS PANDITSHET PATIL,Peasants And Workers Party of India,DALVI MAHENDRA HARI,Shivsena,16094,Result Declared,Maharashtra,S13
